17,30,7,988,65,193,0.0
17,30,7,995,68,191,3.605551275463989
17,30,8,4,72,190,4.123105625617661
17,30,8,12,81,188,9.219544457292887
17,30,8,19,91,187,10.04987562112089
17,30,8,28,102,186,11.045361017187261
17,30,8,35,122,186,20.0
17,30,8,43,135,186,13.0
17,30,8,52,149,186,14.0
17,30,8,60,160,187,11.045361017187261
17,30,8,67,168,189,8.246211251235321
17,30,8,76,172,192,5.0
17,30,8,84,175,193,3.1622776601683795
17,30,8,92,175,195,2.0
17,30,8,99,176,197,2.23606797749979
17,30,8,107,176,199,2.0
17,30,8,116,176,202,3.0
17,30,8,124,176,205,3.0
17,30,8,132,173,210,5.830951894845301
17,30,8,140,170,214,5.0
17,30,8,147,164,218,7.211102550927978
17,30,8,156,159,220,5.385164807134504
17,30,8,166,153,223,6.708203932499369
17,30,8,171,148,225,5.385164807134504
17,30,8,180,143,227,5.385164807134504
17,30,8,190,140,229,3.605551275463989
17,30,8,196,138,229,2.0
17,30,8,204,138,230,1.0
17,30,8,214,137,230,1.0
17,30,8,229,137,231,1.0
17,30,8,237,137,232,1.0
17,30,8,245,137,234,2.0
17,30,8,253,140,239,5.830951894845301
17,30,8,262,144,245,7.211102550927978
17,30,8,269,149,251,7.810249675906654
17,30,8,277,154,258,8.602325267042627
17,30,8,285,159,267,10.295630140987
17,30,8,294,164,274,8.602325267042627
17,30,8,302,169,283,10.295630140987
17,30,8,310,174,291,9.433981132056603
17,30,8,320,180,303,13.416407864998739
17,30,8,326,183,312,9.486832980505138
17,30,8,334,185,324,12.165525060596439
17,30,8,342,186,334,10.04987562112089
17,30,8,349,186,339,5.0
17,30,8,357,186,345,6.0
17,30,8,366,185,347,2.23606797749979
17,30,8,373,183,348,2.23606797749979
17,30,8,381,180,349,3.1622776601683795
17,30,8,390,177,349,3.0
17,30,8,397,173,349,4.0
17,30,8,406,167,349,6.0
17,30,8,414,162,347,5.385164807134504
17,30,8,422,158,344,5.0
17,30,8,430,155,342,3.605551275463989
17,30,8,437,154,342,1.0
17,30,8,455,154,341,1.0
