Char,x,y,dis,time
0,"[ 0.  0.  0.  0.  2.  3.  4.  9. 12. 16. 21. 28. 36. 43. 50. 56. 59. 61.
 61. 61. 61. 57. 52. 47. 41. 37. 34. 30. 27. 25. 24.]","[20. 22. 25. 27. 32. 35. 37. 41. 44. 46. 48. 49. 49. 49. 47. 42. 38. 32.
 27. 23. 20. 14.  8.  5.  2.  1.  0.  0.  0.  1.  3.]","[101.59724406   2.           3.           2.           5.38516481
   3.16227766   2.23606798   6.40312424   4.24264069   4.47213595
   5.38516481   7.07106781   8.           7.           7.28010989
   7.81024968   5.           6.32455532   5.           4.
   3.           7.21110255   7.81024968   5.83095189   6.70820393
   4.12310563   3.16227766   4.           3.           2.23606798
   2.23606798]","[263.   9.   9.   8.   8.   8.   8.   8.   8.   9.   7.   9.   7.   8.
   7.   9.   8.   8.   7.   9.   7.   9.   7.   8.   8.   8.   8.  10.
   6.   8.   8.]"
0,"[ 8.  8.  7.  6.  6.  6.  6.  6.  6.  8.  9. 10. 12. 14. 15. 19. 22. 30.
 33. 37. 41. 44. 44. 44. 41. 36. 31. 27. 19. 14. 10.  7.  5.  3.  1.  0.
  0.]","[13. 16. 19. 24. 27. 31. 35. 38. 41. 46. 47. 48. 50. 51. 51. 51. 51. 47.
 43. 39. 35. 26. 22. 16. 12.  6.  3.  1.  0.  0.  0.  2.  3.  5.  8. 10.
 12.]","[97.          3.          3.16227766  5.09901951  3.          4.
  4.          3.          3.          5.38516481  1.41421356  1.41421356
  2.82842712  2.23606798  1.          4.          3.          8.94427191
  5.          5.65685425  5.65685425  9.48683298  4.          6.
  5.          7.81024968  5.83095189  4.47213595  8.06225775  5.
  4.          3.60555128  2.23606798  2.82842712  3.60555128  2.23606798
  2.        ]","[266.   9.   7.   9.   7.   8.  10.   8.   7.  10.   8.   5.  10.   8.
   9.   7.   8.   8.   8.   8.   9.   7.   8.   8.   8.   7.   8.   7.
   8.   8.   8.   8.   8.   8.   9.   8.   8.]"
0,"[ 8.  8.  8.  8.  8.  8. 10. 10. 15. 17. 24. 32. 40. 44. 48. 50. 52. 52.
 52. 50. 48. 44. 37. 28. 19. 10.  7.  3.  2.  1.  0.  0.  0.]","[15. 17. 21. 23. 27. 31. 37. 38. 43. 43. 46. 46. 46. 44. 42. 38. 34. 29.
 25. 19. 16. 12.  7.  3.  1.  0.  0.  0.  2.  4.  6.  9. 12.]","[91.26883367  2.          4.          2.          4.          4.
  6.32455532  1.          7.07106781  2.          7.61577311  8.
  8.          4.47213595  4.47213595  4.47213595  4.47213595  5.
  4.          6.32455532  3.60555128  5.65685425  8.60232527  9.8488578
  9.21954446  9.05538514  3.          4.          2.23606798  2.23606798
  2.23606798  3.          3.        ]","[265.   8.   9.   6.   9.   8.   8.   8.   8.  11.   8.   5.  10.   8.
   8.   8.   9.   8.   8.   8.   7.   8.   8.   9.   7.   9.   8.   8.
   7.   9.   7.   9.   8.]"
0,"[ 6.  5.  5.  4.  3.  2.  1.  0.  0.  0.  0.  0.  0.  0.  2.  4.  8. 15.
 18. 25. 32. 41. 44. 48. 50. 50. 50. 47. 45. 37. 30. 27. 21. 20. 19.]","[15. 15. 17. 18. 20. 25. 27. 29. 32. 34. 36. 38. 40. 41. 43. 44. 45. 46.
 46. 46. 45. 41. 38. 33. 29. 24. 20. 15. 12.  7.  3.  1.  0.  0.  0.]","[121.06609765   1.           2.           1.41421356   2.23606798
   5.09901951   2.23606798   2.23606798   3.           2.
   2.           2.           2.           1.           2.82842712
   2.23606798   4.12310563   7.07106781   3.           7.
   7.07106781   9.8488578    4.24264069   6.40312424   4.47213595
   5.           4.           5.83095189   3.60555128   9.43398113
   8.06225775   3.60555128   6.08276253   1.           1.        ]","[185.  16.   8.   8.   8.   8.   8.   9.   7.   8.   8.   9.   7.   9.
   7.   8.   8.   8.   8.   8.   9.   8.   8.   9.   6.   8.  10.   8.
   8.   7.   8.   8.   8.   8.   9.]"
0,"[ 0.  0.  2.  3.  6.  8. 12. 17. 25. 32. 45. 52. 58. 64. 66. 66. 66. 62.
 55. 48. 38. 30. 22. 16. 12.  8.  6.  4.  3.  2.  2.  2.  2.  2.  2.  3.]","[28. 31. 34. 36. 40. 41. 44. 45. 46. 46. 46. 42. 40. 33. 29. 25. 20. 17.
 11.  7.  3.  1.  0.  0.  0.  0.  1.  3.  6.  8. 11. 12. 16. 18. 21. 23.]","[612.67038446   3.           3.60555128   2.23606798   5.
   2.23606798   5.           5.09901951   8.06225775   7.
  13.           8.06225775   6.32455532   9.21954446   4.47213595
   4.           5.           5.           9.21954446   8.06225775
  10.77032961   8.24621125   8.06225775   6.           4.
   4.           2.23606798   2.82842712   3.16227766   2.23606798
   3.           1.           4.           2.           3.
   2.23606798]","[682.   8.   8.   7.   9.   7.   8.  10.   5.   8.  10.   6.   7.  10.
   6.  11.   8.   8.   9.   7.   8.   8.   8.   9.   8.   8.   8.   8.
   7.   8.   8.   8.   8.   8.   8.   8.]"
0,"[ 3.  3.  2.  1.  0.  0.  0.  0.  0.  0.  2.  4.  9. 21. 29. 46. 56. 65.
 72. 77. 79. 79. 76.]","[ 7.  9. 11. 13. 16. 19. 22. 25. 28. 30. 32. 33. 35. 36. 36. 35. 33. 29.
 25. 18. 11.  6.  0.]","[91.21951546  2.          2.23606798  2.23606798  3.16227766  3.
  3.          3.          3.          2.          2.82842712  2.23606798
  5.38516481 12.04159458  8.         17.02938637 10.19803903  9.8488578
  8.06225775  8.60232527  7.28010989  5.          6.70820393]","[192.   8.   7.   9.   7.   9.   7.   8.   7.   8.   8.   9.   7.   8.
   8.   8.   8.   9.   7.   8.   9.   7.   8.]"
0,"[19. 19. 19. 19. 19. 21. 23. 27. 33. 38. 47. 54. 61. 64. 70. 71. 71. 71.
 71. 67. 64. 58. 48. 41. 34. 29. 21. 12.  7.  3.  1.  0.  0.  0.  0.  4.
 12.]","[26. 29. 32. 35. 37. 40. 41. 43. 44. 44. 44. 41. 37. 34. 28. 23. 20. 17.
 12.  8.  6.  3.  1.  0.  0.  0.  2.  5.  8. 12. 14. 15. 17. 19. 21. 24.
 27.]","[38.47076812  3.          3.          3.          2.          3.60555128
  2.23606798  4.47213595  6.08276253  5.          9.          7.61577311
  8.06225775  4.24264069  8.48528137  5.09901951  3.          3.
  5.          5.65685425  3.60555128  6.70820393 10.19803903  7.07106781
  7.          5.          8.24621125  9.48683298  5.83095189  5.65685425
  2.82842712  1.41421356  2.          2.          2.          5.
  8.54400375]","[790.   7.   8.   8.   8.   8.   9.   6.   8.  10.   8.   8.   8.   9.
   7.   8.   8.   7.   7.   9.   7.  10.   7.   9.   7.   8.   8.   8.
   9.   7.   8.   8.   9.   8.   7.   9.   9.]"
0,"[ 4.  4.  4.  4.  4.  4.  4.  5.  7.  7. 10. 11. 17. 24. 30. 35. 40. 44.
 44. 46. 46. 46. 44. 40. 34. 28. 19. 13.  7.  3.  0.  0.  0.  0.]","[ 9. 11. 12. 15. 17. 19. 22. 22. 24. 25. 25. 26. 26. 26. 26. 25. 22. 20.
 18. 15. 13.  9.  7.  4.  2.  1.  0.  0.  0.  2.  3.  5.  7.  8.]","[109.29318368   2.           1.           3.           2.
   2.           3.           1.           2.82842712   1.
   3.           1.41421356   6.           7.           6.
   5.09901951   5.83095189   4.47213595   2.           3.60555128
   2.           4.           2.82842712   5.           6.32455532
   6.08276253   9.05538514   6.           6.           4.47213595
   3.16227766   2.           2.           1.        ]","[958.   9.   8.   8.   8.   8.   7.   9.   8.   7.   9.   7.   7.   8.
   8.   9.   7.   9.   7.   8.   8.   8.   8.   8.   8.   8.   9.   7.
   7.   9.   7.   8.  16.   8.]"
0,"[ 2.  1.  1.  0.  0.  0.  0.  1.  3.  6. 11. 16. 22. 34. 41. 47. 50. 54.
 55. 55. 55. 51. 48. 40. 33. 27. 23. 21. 19. 19. 19.]","[10. 12. 13. 14. 17. 20. 23. 24. 27. 28. 31. 31. 32. 32. 31. 28. 25. 21.
 17. 15. 12.  8.  6.  2.  0.  0.  0.  0.  0.  1.  2.]","[71.0070419   2.23606798  1.          1.41421356  3.          3.
  3.          1.41421356  3.60555128  3.16227766  5.83095189  5.
  6.08276253 12.          7.07106781  6.70820393  4.24264069  5.65685425
  4.12310563  2.          3.          5.65685425  3.60555128  8.94427191
  7.28010989  6.          4.          2.          2.          1.
  1.        ]","[226.   8.   7.  10.   9.   6.  10.   8.   8.   8.   8.   8.   7.   8.
   8.   9.   7.   9.   7.   8.   8.   8.   8.   8.   8.   8.   8.   8.
   8.   8.   9.]"
0,"[10.  9.  8.  8.  8.  8.  8.  8.  9. 10. 13. 18. 21. 29. 35. 38. 41. 41.
 41. 41. 39. 35. 30. 24. 17. 12.  6.  3.  0.  0.  0.]","[ 4.  5.  7. 10. 13. 15. 17. 20. 22. 23. 24. 26. 26. 26. 25. 23. 21. 19.
 17. 14. 10.  8.  5.  2.  0.  0.  0.  0.  1.  2.  3.]","[78.          1.41421356  2.23606798  3.          3.          2.
  2.          3.          2.23606798  1.41421356  3.16227766  5.38516481
  3.          8.          6.08276253  3.60555128  3.60555128  2.
  2.          3.          4.47213595  4.47213595  5.83095189  6.70820393
  7.28010989  5.          6.          3.          3.16227766  1.
  1.        ]","[209.  24.  10.   7.   7.   9.   8.   7.   9.   8.   7.   9.   7.   8.
   9.   9.   8.   6.  10.   9.   8.   7.   7.   8.   8.   9.   8.   7.
   8.   9.   8.]"
